UTARIH;FONKODU;FONADI;YONTIPI;YONTURU;TOPLAMDEGER;PIYASAFIYAT;DOLASIMDAKIPAYSAYISI;YATIRIMCISAYISI;HS;TR;BP;OZ;KB;KD;YM;HZ;DG
26.04.2017 00:00:00;AEE;ALLIANZ HAYAT VE EMEKLILIK A.Ş. DİNAMİK DEĞİŞKEN EMEKLİLİK YATIRIM FONU;Emeklilik Yatırım Fonu        ;;25812774.28;0.012262;2105089082.646;10648;31.88;5.75;0;6.8;44.12;0;2.18;0;9.27
27.04.2017 00:00:00;AEY;AEGON EMEKLILIK VE HAYAT A.Ş. KATKI EMEKLİLİK YATIRIM FONU;Devlet Katkısı Fonu           ;Devlet Katkısı Fonu;14885117.29;0.012596;1181690946.21;11441;0;0.28;0;0;84.96;0;0;0;11.99
27.04.2017 00:00:00;ANS;AEGON EMEKLİLİK VE HAYAT  A.Ş. HİSSE SENEDİ EMEKLİLİK YATIRIM FONU;Emeklilik Yatırım Fonu        ;Hisse Senedi Fonu;23619183.72;0.081448;289991564.271;19392;84.09;6.95;8.96;0;0;0;0;0;0
27.04.2017 00:00:00;ANE;AEGON EMEKLİLİK VE HAYAT A.Ş. KARMA EMEKLİLİK YATIRIM FONU;Emeklilik Yatırım Fonu        ;Karma Fon;31003651.23;0.050266;616794083.598;28855;34.19;1.61;8.26;0;36.45;0;0;0;19.49
27.04.2017 00:00:00;ANK;AEGON EMEKLİLİK VE HAYAT A.Ş. PARA PİYASASI EMEKLİLİK YATIRIM FONU;Emeklilik Yatırım Fonu        ;;23361565.45;0.038802;602064272.607;27979;0;57.11;0;0;23.9;0;0;0;18.99
27.04.2017 00:00:00;AEE;ALLIANZ HAYAT VE EMEKLILIK A.Ş. DİNAMİK DEĞİŞKEN EMEKLİLİK YATIRIM FONU;Emeklilik Yatırım Fonu        ;;25942867.91;0.012249;2117942760.145;10654;32.95;2.53;0;7.04;45.62;0;2.26;0;9.6
28.04.2017 00:00:00;AEY;AEGON EMEKLILIK VE HAYAT A.Ş. KATKI EMEKLİLİK YATIRIM FONU;Devlet Katkısı Fonu           ;Devlet Katkısı Fonu;14941766.87;0.012654;1180771210.352;11434;0;0.24;0;0;85.17;0;0;0;11.85
28.04.2017 00:00:00;ANS;AEGON EMEKLİLİK VE HAYAT  A.Ş. HİSSE SENEDİ EMEKLİLİK YATIRIM FONU;Emeklilik Yatırım Fonu        ;Hisse Senedi Fonu;23552187.64;0.081327;289597391.308;19380;83.65;7.44;8.91;0;0;0;0;0;0
28.04.2017 00:00:00;ANE;AEGON EMEKLİLİK VE HAYAT A.Ş. KARMA EMEKLİLİK YATIRIM FONU;Emeklilik Yatırım Fonu        ;Karma Fon;30934622.8;0.050256;615535302.639;28841;34.21;1.61;8.21;0;36.46;0;0;0;19.51
28.04.2017 00:00:00;ANK;AEGON EMEKLİLİK VE HAYAT A.Ş. PARA PİYASASI EMEKLİLİK YATIRIM FONU;Emeklilik Yatırım Fonu        ;;23348778.54;0.038813;601575188.777;27957;0;57.08;0;0;23.91;0;0;0;19.01
